reference;designation;unite;prixBas;prixMoyen;prixHaut;categorie;source;dateMaj;notes
TERRE-VEG-M3;Terre végétale;m3;25;45;70;TERRASSEMENT;Gravalis Koncrete tarifs paysagistes;2026-05-30;Prix public moyen France 2026 hors transport longue distance
TERRE-VEG-M2;Terre végétale épandue base 10 cm;m2;2.5;4.5;7;TERRASSEMENT;Calcul depuis TERRE-VEG-M3;2026-05-30;Alias pack pour végétalisation sur 10 cm
SABLE-M3;Sable vrac;m3;40;60;85;TERRASSEMENT;Gravalis SelfBeton 2026 Tourbières de Sucé;2026-05-30;Prix départ ou livré local selon fournisseur
GRAVIER-M3;Gravier tout-venant;m3;45;75;125;TERRASSEMENT;Prix-travaux-m2 Berger et fils Tourbières de Sucé;2026-05-30;Fourchette large selon calibre et livraison
GEOTEXTILE-M2;Géotextile 100g/m²;m2;1.2;2.2;3;TERRASSEMENT;DPI France 2026 distributeurs jardin;2026-05-30;Prix rouleau ou détail selon largeur
EVAC-VEGETAUX-U;Evacuation végétaux forfait par sujet;u;30;45;75;TERRASSEMENT;Estimation PlaqPro terrain;2026-05-30;Alias pack abattage hors benne lourde
EVAC-VEGETAUX-ML;Evacuation végétaux selon hauteur;ml;5;8;12;TERRASSEMENT;Estimation PlaqPro terrain;2026-05-30;Majoration par mètre de hauteur arbre
EVAC-DECHETS-U;Evacuation déchets verts et gravats légers;u;15;20;35;TERRASSEMENT;Estimation PlaqPro terrain;2026-05-30;Alias pack nettoyage final
BETON-STD-M3;Béton standard prêt à l'emploi;m3;100;145;200;BETON;BuildEstimatory Mager ECTP31 SelfBeton 2026;2026-05-30;Référence demandée alias standard
BETON-STANDARD-M3;Béton standard prêt à l'emploi;m3;100;145;200;BETON;BuildEstimatory Mager ECTP31 SelfBeton 2026;2026-05-30;Référence technique utilisée par pack_paysagisme
BETON-DESACTIVE-M3;Béton désactivé prêt à l'emploi;m3;180;230;330;BETON;TravauxBeton ECTP31 2026;2026-05-30;Prix matière m3 hors transport spécial
BETON-DESACTIVE-M2;Béton désactivé finition;m2;80;120;170;BETON;TravauxBeton Allotravaux tarifs artisans;2026-05-30;Prix indicatif surface finie selon épaisseur et accès
DESACTIVANT-M2;Désactivant et consommables;m2;8;18;30;BETON;ECTP31 TravauxBeton estimation PlaqPro;2026-05-30;Alias pack béton désactivé
TREILLIS-COFFRAGE-M2;Treillis soudé coffrage consommables;m2;8;12;20;BETON;BuildEstimatory distributeurs matériaux;2026-05-30;Complément fourniture dalle
FINITION-TALOCHE-M2;Finition talochée consommables;m2;3;4;7;BETON;Estimation PlaqPro terrain;2026-05-30;Alias pack dalle talochée
PROTECTION-METEO-M2;Protection météo béton;m2;2.5;3.5;6;BETON;Estimation PlaqPro terrain;2026-05-30;Film protection et aléas lavage
CIMENT-SAC;Ciment 35kg;sac;7;9;12;BETON;BuildEstimatory distributeurs matériaux;2026-05-30;Sac courant 35 kg
CIMENT-35KG;Ciment 35kg;sac;7;9;12;BETON;BuildEstimatory distributeurs matériaux;2026-05-30;Alias catalogue historique
GRAVIER-BETON-T;Gravier béton par tonne;t;30;45;70;BETON;Berger et fils Tourbières de Sucé prix-travaux-m2;2026-05-30;Granulat béton vrac
GRAVIER-BETON-M3;Gravier béton;m3;48;72;112;BETON;Conversion depuis prix tonne;2026-05-30;Base densité environ 1.6 t par m3
BLOC-BETON-U;Bloc béton 20x20x50;u;1.5;2.2;3.5;MACONNERIE;TravauxBeton distributeurs matériaux;2026-05-30;Bloc creux courant unité ou palette
MORTIER-SAC;Mortier colle 25kg;sac;7;10;16;MACONNERIE;SelfBeton Quéguiner distributeurs matériaux;2026-05-30;Mortier ou colle selon usage
MORTIER-25KG;Mortier 25kg;sac;7;10;16;MACONNERIE;SelfBeton Quéguiner distributeurs matériaux;2026-05-30;Alias catalogue historique
ENDUIT-EXT-SAC;Enduit extérieur 25kg;sac;18;28;45;MACONNERIE;Quéguiner PRB distributeurs façade;2026-05-30;Enduit monocouche ou extérieur courant
ENDUIT-EXT-25KG;Enduit extérieur 25kg;sac;18;28;45;MACONNERIE;Quéguiner PRB distributeurs façade;2026-05-30;Alias catalogue historique
ENDUIT-EXT-M2;Enduit extérieur au m²;m2;12;18;30;MACONNERIE;Estimation depuis sacs 25 kg;2026-05-30;Alias pack maçonnerie extérieure
PLIOLITE-BIDON;Peinture pliolite 15L;bidon;65;90;130;MACONNERIE;Distributeurs peinture façade;2026-05-30;Bidon 15 L selon marque
PLIOLITE-15L;Peinture pliolite 15L;bidon;65;90;130;MACONNERIE;Distributeurs peinture façade;2026-05-30;Alias catalogue historique
MUR-M2;Fournitures mur extérieur;m2;45;52;75;MACONNERIE;Estimation PlaqPro matériaux;2026-05-30;Alias pack mur simple
MURET-M2;Fournitures muret extérieur;m2;50;58;85;MACONNERIE;Estimation PlaqPro matériaux;2026-05-30;Alias pack muret
BAC-MACONNERIE-M2;Fournitures bac maçonné;m2;65;78;110;MACONNERIE;Estimation PlaqPro matériaux;2026-05-30;Alias pack bac maçonné
COUVERTINE-ML;Couvertine béton ou pierre;ml;18;28;45;MACONNERIE;Distributeurs matériaux estimation PlaqPro;2026-05-30;Hors découpe spéciale
ARDOISE-M2;Ardoise naturelle pose comprise;m2;35;85;120;PAREMENT;Ootravaux Pierre et Parquet Decoon;2026-05-30;Prix fourniture selon gamme et format
ARDOISE-NAT-M2;Ardoise naturelle;m2;35;85;120;PAREMENT;Ootravaux Pierre et Parquet Decoon;2026-05-30;Alias catalogue historique
PIERRE-RECONS-M2;Pierre reconstituée pose comprise;m2;30;45;90;PAREMENT;Ootravaux distributeurs parement;2026-05-30;Référence demandée
PIERRE-RECONST-M2;Pierre reconstituée;m2;30;45;90;PAREMENT;Ootravaux distributeurs parement;2026-05-30;Référence technique utilisée par pack
